Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
LowsA1	Error (col 1): Unknown or ambiguous symbol. LowsA1			
CW	0	0x2000105C	uint32_t	
CCW	0	0x20001060	uint32_t	
High	Error: Operation error. 			
RotaryState	Error (col 1): Unknown or ambiguous symbol. RotaryState			
Rising	<class>	0x20001054	class RisingCallback	
Falling	<class>	0x20001058	class FallingCallback	
RE_CW	Error (col 1): Unknown or ambiguous symbol. RE_CW			
RE_CCW	Error (col 1): Unknown or ambiguous symbol. RE_CCW			
RE_SW	Error (col 1): Unknown or ambiguous symbol. RE_SW			
Key0Rise	0	0x2000107C	uint32_t	
Key0Fall	0	0x20001080	uint32_t	
Key1Rise	0	0x20001084	uint32_t	
Key1Fall	0	0x20001088	uint32_t	
Key2Rise	0	0x2000108C	uint32_t	
Key2Fall	0	0x20001090	uint32_t	
Key3Rise	0	0x20001094	uint32_t	
Key3Fall	0	0x20001098	uint32_t	
FastIO	Error (col 1): Unknown or ambiguous symbol. FastIO			
I2CDevicesAvailable	Error (col 1): Unknown or ambiguous symbol. I2CDevicesAvailable			
I2CDevIntr	<class>	0x2000000C	class HAL::I2CIntr	
Voltage	Error (col 1): Unknown or ambiguous symbol. Voltage			
Current	Error (col 1): Unknown or ambiguous symbol. Current			
CallbackVoltage	0.0	0x200010BC	float	
CallbackCurrent	0.0	0x200010C0	float	
Q_Sucess	Error (col 1): Unknown or ambiguous symbol. Q_Sucess			
Q_Fail	Error (col 1): Unknown or ambiguous symbol. Q_Fail			
BME280_I2CDevIntr	<class>	0x20000704	class HAL::I2CIntr	
	<class>	0x20000704	class HAL::InterruptSource	
_sclPin	<class>	0x20000708	class HAL::GpioOutput	
_sdaPin	<class>	0x20000710	class HAL::GpioOutput	
_hz	100000	0x20000718	uint32_t	
_I2Cx	0x40005400	0x2000071C	I2C_TypeDef *	
_I2CState	READY	0x20000720	HAL::I2CIntr::I2CState_t	
_I2CStatus	I2C_OK	0x20000721	HAL::I2CIntr::I2CStatus_t	
_Transaction	<struct>	0x20000724	HAL::I2CIntr::Transaction_t	
