Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
LowsA1	Error (col 1): Unknown or ambiguous symbol. LowsA1			
CW	0	0x200010D8	uint32_t	
CCW	0	0x200010DC	uint32_t	
High	Error: Operation error. 			
RotaryState	Error (col 1): Unknown or ambiguous symbol. RotaryState			
Rising	<class>	0x200010D0	class RisingCallback	
Falling	<class>	0x200010D4	class FallingCallback	
RE_CW	Error (col 1): Unknown or ambiguous symbol. RE_CW			
RE_CCW	Error (col 1): Unknown or ambiguous symbol. RE_CCW			
RE_SW	Error (col 1): Unknown or ambiguous symbol. RE_SW			
Key0Rise	0	0x200010F8	uint32_t	
Key0Fall	0	0x200010FC	uint32_t	
Key1Rise	0	0x20001100	uint32_t	
Key1Fall	0	0x20001104	uint32_t	
Key2Rise	0	0x20001108	uint32_t	
Key2Fall	0	0x2000110C	uint32_t	
Key3Rise	0	0x20001110	uint32_t	
Key3Fall	0	0x20001114	uint32_t	
FastIO	Error (col 1): Unknown or ambiguous symbol. FastIO			
I2CDevicesAvailable	Error (col 1): Unknown or ambiguous symbol. I2CDevicesAvailable			
I2CDevIntr	<class>	0x20000014	class HAL::I2CIntr	
	<class>	0x20000014	class HAL::InterruptSource	
_sclPin	<class>	0x20000018	class HAL::GpioOutput	
_sdaPin	<class>	0x20000020	class HAL::GpioOutput	
_hz	100000	0x20000028	uint32_t	
_I2Cx	0x40005400	0x2000002C	I2C_TypeDef *	
_Transaction	<struct>	0x20000030	HAL::I2CIntr::Transaction_t	
_TxQueueEmptyCallback	0x00000000	0x20000048	class HAL::Callback *	
_RxQueueFullCallback	I2CIntr_Test()::I2CRxQueueFullCallback (0x20001154)	0x2000004C	class HAL::Callback *	
_SlaveTxDoneCallback	0x00000000	0x20000050	class HAL::Callback *	
_SlaveRxDoneCallback	I2CIntr_Test()::I2CRxDoneCallback (0x20001158)	0x20000054	class HAL::Callback *	
_I2CTxnQueue	<class>	0x20000058	HAL::I2CIntr::I2CTxnQueue_t	
_pCurrentTxn	Transaction (0x2000106C)	0x2000008C	HAL::I2CIntr::Transaction_t *	
